,survived,age,fare,class,is_female
0,1.0,29.0,211.3375,1.0,1
1,1.0,0.9167,151.55,1.0,0
2,0.0,2.0,151.55,1.0,1
3,0.0,30.0,151.55,1.0,0
4,0.0,25.0,151.55,1.0,1
5,1.0,48.0,26.55,1.0,0
6,1.0,63.0,77.9583,1.0,1
7,0.0,39.0,0.0,1.0,0
8,1.0,53.0,51.4792,1.0,1
9,0.0,71.0,49.5042,1.0,0
10,0.0,47.0,227.525,1.0,0
11,1.0,18.0,227.525,1.0,1
12,1.0,24.0,69.3,1.0,1
13,1.0,26.0,78.85,1.0,1
14,1.0,80.0,30.0,1.0,0
15,0.0,24.0,247.5208,1.0,0
16,1.0,50.0,247.5208,1.0,1
17,1.0,32.0,76.2917,1.0,1
18,0.0,36.0,75.2417,1.0,0
19,1.0,37.0,52.5542,1.0,0
20,1.0,47.0,52.5542,1.0,1
21,1.0,26.0,30.0,1.0,0
22,1.0,42.0,227.525,1.0,1
23,1.0,29.0,221.7792,1.0,1
24,0.0,25.0,26.0,1.0,0
25,1.0,25.0,91.0792,1.0,0
26,1.0,19.0,91.0792,1.0,1
27,1.0,35.0,135.6333,1.0,1
28,1.0,28.0,26.55,1.0,0
29,0.0,45.0,35.5,1.0,0
30,1.0,40.0,31.0,1.0,0
31,1.0,30.0,164.8667,1.0,1
32,1.0,58.0,26.55,1.0,1
33,0.0,42.0,26.55,1.0,0
34,1.0,45.0,262.375,1.0,1
35,1.0,22.0,55.0,1.0,1
36,0.0,41.0,30.5,1.0,0
37,0.0,48.0,50.4958,1.0,0
38,1.0,44.0,27.7208,1.0,1
39,1.0,59.0,51.4792,1.0,1
40,1.0,60.0,76.2917,1.0,1
41,1.0,41.0,134.5,1.0,1
42,0.0,45.0,26.55,1.0,0
43,1.0,42.0,26.2875,1.0,0
44,1.0,53.0,27.4458,1.0,1
45,1.0,36.0,512.3292,1.0,0
46,1.0,58.0,512.3292,1.0,1
47,0.0,33.0,5.0,1.0,0
48,0.0,28.0,47.1,1.0,0
49,0.0,17.0,47.1,1.0,0
50,1.0,11.0,120.0,1.0,0
51,1.0,14.0,120.0,1.0,1
52,1.0,36.0,120.0,1.0,0
53,1.0,36.0,120.0,1.0,1
54,0.0,49.0,26.0,1.0,0
55,0.0,36.0,78.85,1.0,0
56,1.0,76.0,78.85,1.0,1
57,0.0,46.0,61.175,1.0,0
58,1.0,47.0,61.175,1.0,1
59,1.0,27.0,53.1,1.0,0
60,1.0,33.0,53.1,1.0,1
61,1.0,36.0,262.375,1.0,1
62,1.0,30.0,86.5,1.0,1
63,1.0,45.0,29.7,1.0,0
64,0.0,27.0,136.7792,1.0,0
65,1.0,26.0,136.7792,1.0,1
66,1.0,22.0,151.55,1.0,1
67,0.0,47.0,25.5875,1.0,0
68,1.0,39.0,83.1583,1.0,1
69,0.0,37.0,83.1583,1.0,0
70,1.0,64.0,83.1583,1.0,1
71,1.0,55.0,25.7,1.0,1
72,0.0,70.0,71.0,1.0,0
73,1.0,36.0,71.0,1.0,1
74,1.0,64.0,26.55,1.0,1
